resource_id,timestamp,dispatched_kw,delivered_kw,is_available,has_override,dataset_split,provenance
ev_0001,2025-12-16T19:30:00+05:30,2.922,0.581,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-17T19:30:00+05:30,3.34,0.541,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-18T19:30:00+05:30,1.578,1.312,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-19T19:30:00+05:30,3.428,2.978,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-20T19:30:00+05:30,1.694,1.278,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-21T19:30:00+05:30,2.276,1.849,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-22T19:30:00+05:30,3.138,1.776,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-23T19:30:00+05:30,1.705,1.589,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-24T19:30:00+05:30,2.719,2.524,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-25T19:30:00+05:30,1.685,1.5,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-26T19:30:00+05:30,3.272,2.984,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-27T19:30:00+05:30,3.062,2.586,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-28T19:30:00+05:30,2.409,2.265,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-29T19:30:00+05:30,1.959,1.744,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-30T19:30:00+05:30,1.432,1.164,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2025-12-31T19:30:00+05:30,1.408,0.0,false,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-01T19:30:00+05:30,2.514,2.299,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-02T19:30:00+05:30,2.878,2.681,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-03T19:30:00+05:30,2.504,0.0,false,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-04T19:30:00+05:30,1.673,1.279,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-05T19:30:00+05:30,3.39,2.978,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-06T19:30:00+05:30,3.14,2.495,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-07T19:30:00+05:30,2.18,1.25,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-08T19:30:00+05:30,1.48,1.189,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-09T19:30:00+05:30,2.863,2.203,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-10T19:30:00+05:30,3.436,2.898,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-11T19:30:00+05:30,2.974,2.696,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-12T19:30:00+05:30,1.435,1.23,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-13T19:30:00+05:30,2.237,0.815,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0001,2026-01-14T19:30:00+05:30,1.468,0.535,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-16T14:30:00+05:30,5.638,2.973,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-17T14:30:00+05:30,4.774,2.916,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-18T14:30:00+05:30,3.467,1.741,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-19T14:30:00+05:30,6.325,3.561,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-20T14:30:00+05:30,5.067,2.979,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-21T14:30:00+05:30,4.232,2.648,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-22T14:30:00+05:30,4.257,2.532,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-23T14:30:00+05:30,5.719,3.57,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-24T14:30:00+05:30,4.075,1.055,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-25T14:30:00+05:30,6.613,4.081,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-26T14:30:00+05:30,4.575,0.0,false,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-27T14:30:00+05:30,3.385,1.91,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-28T14:30:00+05:30,3.98,2.268,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-29T14:30:00+05:30,4.484,2.485,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-30T14:30:00+05:30,3.684,1.988,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2025-12-31T14:30:00+05:30,2.8,1.402,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-01T14:30:00+05:30,4.318,2.251,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-02T14:30:00+05:30,5.265,2.931,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-03T14:30:00+05:30,5.182,2.853,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-04T14:30:00+05:30,4.95,2.718,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-05T14:30:00+05:30,3.056,1.528,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-06T14:30:00+05:30,3.837,2.329,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-07T14:30:00+05:30,6.267,3.462,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-08T14:30:00+05:30,3.66,1.982,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-09T14:30:00+05:30,3.508,1.742,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-10T14:30:00+05:30,6.236,3.672,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-11T14:30:00+05:30,5.903,3.094,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-12T14:30:00+05:30,5.921,1.532,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-13T14:30:00+05:30,5.496,2.534,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0002,2026-01-14T14:30:00+05:30,2.982,0.0,false,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-16T05:15:00+05:30,7.429,5.386,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-17T05:15:00+05:30,3.939,3.016,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-18T05:15:00+05:30,5.331,4.076,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-19T05:15:00+05:30,3.532,2.671,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-20T05:15:00+05:30,5.874,4.655,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-21T05:15:00+05:30,6.982,4.557,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-22T05:15:00+05:30,6.609,5.082,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-23T05:15:00+05:30,7.649,4.876,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-24T05:15:00+05:30,6.136,3.997,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-25T05:15:00+05:30,6.276,5.027,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-26T05:15:00+05:30,7.077,4.958,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-27T05:15:00+05:30,4.466,2.735,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-28T05:15:00+05:30,6.782,4.909,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-29T05:15:00+05:30,4.876,3.736,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-30T05:15:00+05:30,3.925,0.0,false,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2025-12-31T05:15:00+05:30,4.898,3.464,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-01T05:15:00+05:30,7.866,4.614,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-02T05:15:00+05:30,6.186,1.418,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-03T05:15:00+05:30,5.34,4.172,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-04T05:15:00+05:30,7.248,5.264,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-05T05:15:00+05:30,3.691,2.504,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-06T05:15:00+05:30,5.838,4.203,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-07T05:15:00+05:30,5.991,0.836,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-08T05:15:00+05:30,6.796,4.23,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-09T05:15:00+05:30,4.387,3.359,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-10T05:15:00+05:30,5.178,3.309,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-11T05:15:00+05:30,4.164,1.625,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-12T05:15:00+05:30,4.123,2.934,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-13T05:15:00+05:30,4.386,3.052,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0003,2026-01-14T05:15:00+05:30,8.197,0.0,false,false,train,synthetic outcome calibrated from linked ACN session
ev_0004,2025-12-16T22:15:00+05:30,9.237,5.326,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0004,2025-12-17T22:15:00+05:30,7.566,3.887,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0004,2025-12-18T22:15:00+05:30,9.528,1.493,true,true,train,synthetic outcome calibrated from linked ACN session
ev_0004,2025-12-19T22:15:00+05:30,8.315,4.638,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0004,2025-12-20T22:15:00+05:30,5.941,2.704,true,false,train,synthetic outcome calibrated from linked ACN session
ev_0004,2025-12-21T22:15:00+05:30,5.213,0.907,true,true,train,synthetic outcome calibrated from linked ACN session
