resource_id,event_timestamp,dataset_split,rated_power_kw,max_power_kw,required_kwh,battery_capacity_kwh,arrival_soc_pct,target_soc_pct,soc_gap_pct,connection_window_hours,required_energy_share,average_required_power_kw,event_hour,event_weekday,prior_event_count,prior_delivery_ratio_mean,prior_delivery_ratio_ema,prior_delivery_ratio_std,prior_availability_rate,prior_override_rate,target_dispatched_kw,target_delivered_kw,target_delivery_ratio,target_is_available,target_has_override
ev_0001,2025-12-16T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,1,0,,,,,,2.922,0.581,0.198836,True,True
ev_0001,2025-12-17T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,2,1,0.198836,0.198836,,1.0,1.0,3.34,0.541,0.161976,True,True
ev_0001,2025-12-18T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,3,2,0.180406,0.185935,0.01843,1.0,1.0,1.578,1.312,0.831432,True,False
ev_0001,2025-12-19T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,4,3,0.397415,0.411859,0.307265,1.0,0.666667,3.428,2.978,0.868728,True,False
ev_0001,2025-12-20T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,5,4,0.515243,0.571763,0.33535,1.0,0.5,1.694,1.278,0.754427,True,False
ev_0001,2025-12-21T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,6,5,0.56308,0.635696,0.314835,1.0,0.4,2.276,1.849,0.81239,True,False
ev_0001,2025-12-22T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,0,6,0.604632,0.697539,0.302049,1.0,0.333333,3.138,1.776,0.565966,True,True
ev_0001,2025-12-23T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,1,7,0.599108,0.651488,0.27997,1.0,0.428571,1.705,1.589,0.931965,True,False
ev_0001,2025-12-24T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,2,8,0.640715,0.749655,0.284084,1.0,0.375,2.719,2.524,0.928282,True,False
ev_0001,2025-12-25T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,3,9,0.672667,0.812175,0.282673,1.0,0.333333,1.685,1.5,0.890208,True,False
ev_0001,2025-12-26T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,4,10,0.694421,0.839486,0.275994,1.0,0.3,3.272,2.984,0.91198,True,False
ev_0001,2025-12-27T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,5,11,0.714199,0.864859,0.27048,1.0,0.272727,3.062,2.586,0.844546,True,False
ev_0001,2025-12-28T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,6,12,0.725061,0.85775,0.261459,1.0,0.25,2.409,2.265,0.940224,True,False
ev_0001,2025-12-29T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,0,13,0.741612,0.886616,0.257662,1.0,0.230769,1.959,1.744,0.89025,True,False
ev_0001,2025-12-30T19:30:00+05:30,train,3.47,3.47,12.635,74.2,12.757,29.785,17.028,4.25,0.856784,2.972941,19.5,1,14,0.752229,0.887888,0.251222,1.0,0.214286,1.432,1.164,0.812849,True,False
